CodigoCliente,CodigoContrato,DataInicio,DataTermino,Fechado,Placa,Cor,Modelo,ValorPeriodoVeiculo,ValorCombustivel,ValorLocacao,PeriodoTarifa,ValorDiversos
2367,33606,8/18/22 0:00,9/17/22 0:00,Sim,RUT2C77,Cinza,T-cross Highline 1.4 Tsi Flex 16v 5p Aut,"R$ 4.200,00","R$ 0,00","R$ 4.200,00",30,"R$ 0,00"
1418,33619,8/19/22 0:00,8/19/22 0:00,Sim,RNU9C02,Prata,L200 Triton. Outd. Glx 2.4 Cd 4x4 Die. Mec,"R$ 0,01","R$ 0,00","R$ 0,01",1,"R$ 0,00"
1666,33642,8/23/22 0:00,8/30/22 0:00,Sim,RMO6H54,Branco,Gol 1.6 Msi Flex 8v 5p,"R$ 200,00","R$ 0,00","R$ 1.400,00",1,"R$ 0,00"
2374,33716,8/27/22 0:00,10/15/22 0:00,Sim,QQU2457,Preta,Corolla Gli 1.8 Cvt,"R$ 166,00","R$ 0,00","R$ 8.134,00",1,"R$ 0,00"
1810,34253,8/27/22 0:00,9/24/22 0:00,Sim,QXR2D26,Branca,Toro Volcano At,"R$ 250,00","R$ 0,00","R$ 7.000,00",1,"R$ 0,00"
2344,34052,8/27/22 0:00,10/7/22 0:00,Sim,RUJ9E73,Branco,Gol 1.0 Flex 12v 5p,"R$ 76,67","R$ 0,00","R$ 3.748,72",1,"R$ 0,00"
1666,33730,8/30/22 0:00,10/4/22 0:00,Sim,RMO6H54,Branco,Gol 1.6 Msi Flex 8v 5p,"R$ 115,77","R$ 0,00","R$ 4.080,89",1,"R$ 0,00"
2378,34056,9/1/22 0:00,9/20/22 0:00,Sim,QQQ3845,Preta,Fusion Titgtdiawd  Aut.,"R$ 5.900,00","R$ 0,00","R$ 0,00",30,
2378,34217,9/1/22 0:00,10/4/22 0:00,Sim,RTJ8G45,Preta,Cruze Ltz 1.4 16v Turbo Flex 4p Aut.,"R$ 5.900,00","R$ 0,00","R$ 6.539,18",30,"R$ 0,00"
1305,34071,9/8/22 0:00,9/9/22 0:00,Sim,QQK1136,Prata,Gol 1.6 Msi Flex 8v 5p,"R$ 190,00","R$ 0,00","R$ 190,00",1,"R$ 0,00"
2379,34076,9/8/22 0:00,9/8/22 0:00,Sim,RNU0A79,Prata Sirius,Gol (novo) 1.0 Mi Total Flex 8v 4p,"R$ 0,01","R$ 0,00","R$ 0,00",30,"R$ 0,00"
1305,34118,9/10/22 0:00,9/20/22 0:00,Sim,QQK1136,Prata,Gol 1.6 Msi Flex 8v 5p,"R$ 150,00","R$ 0,00","R$ 1.500,00",1,"R$ 0,00"
2367,34282,9/17/22 0:00,10/17/22 0:00,Sim,RUT2C77,Cinza,T-cross Highline 1.4 Tsi Flex 16v 5p Aut,"R$ 4.200,00","R$ 0,00","R$ 4.200,00",30,"R$ 0,00"
2381,34157,9/17/22 0:00,10/15/22 0:00,Sim,RUF0B15,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 71,43","R$ 0,00","R$ 2.000,04",1,"R$ 0,00"
537,34218,9/20/22 0:00,12/15/22 0:00,Sim,QXR2D27,Branca,Strada Hd Wk Cce,"R$ 0,00","R$ 0,00","R$ 0,00",1,"R$ 0,00"
2385,34234,9/21/22 0:00,10/3/22 0:00,Sim,RMF0A27,Prata,Gol 1.6 Msi Flex 8v 5p,"R$ 100,00","R$ 0,00","R$ 1.200,00",1,"R$ 0,00"
1845,34720,9/30/22 0:00,11/1/22 0:00,Sim,RUG0I75,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 102,62","R$ 0,00","R$ 3.283,84",1,"R$ 0,00"
2342,34743,10/1/22 0:00,11/16/22 0:00,Sim,RML0C55,Prata,Gol 1.6 Msi Flex 8v 5p,"R$ 93,00","R$ 212,52","R$ 4.568,02",1,"R$ 0,00"
335,35067,10/3/22 0:00,10/31/22 0:00,Sim,RUL0F36,Preta,S10 Pick-up Ltz Dd4 A,"R$ 8.100,00","R$ 0,00","R$ 7.830,00",30,"R$ 0,00"
2407,35073,10/4/22 0:00,11/3/22 0:00,Sim,RUF2F66,Branco,Voyage 1.0  Flex 12v 4p,"R$ 2.790,00","R$ 0,00","R$ 2.790,00",30,"R$ 0,00"
1566,34581,10/4/22 0:00,12/4/22 0:00,Sim,RUJ9E78,Prata,Gol 1.0 Flex 12v 5p,"R$ 74,76","R$ 0,00","R$ 4.560,36",1,"R$ 0,00"
2390,34588,10/6/22 0:00,10/8/22 0:00,Sim,QQZ9775,Branca,Frontier Sccd 4x4 2.3 Tb Diesel Mec.,"R$ 500,00","R$ 0,00","R$ 1.275,12",1,"R$ 0,00"
2280,34592,10/7/22 0:00,10/10/22 0:00,Sim,RUF0B07,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 150,00","R$ 0,00","R$ 450,00",1,"R$ 0,00"
2391,34594,10/7/22 0:00,11/8/22 0:00,Sim,RVD7B29,Branca,Saveiro Robust 1.6 Total Flex 8v,"R$ 3.290,00","R$ 0,00","R$ 4.448,59",30,"R$ 0,00"
2392,34595,10/8/22 0:00,11/3/22 0:00,Sim,RUL0F35,Branca,S10 Pick-up Ltz Dd4 A,"R$ 8.200,00","R$ 0,00","R$ 7.206,58",30,"R$ 100,00"
2394,34624,10/11/22 0:00,10/17/22 0:00,Sim,RTI9F90,Branca,Spin Primier 1.8 8v Econo.Flex 5p Mec,"R$ 260,00","R$ 0,00","R$ 1.620,00",1,"R$ 60,00"
2239,34621,10/11/22 0:00,10/19/22 0:00,Sim,QWU2947,Prata,Etios Hb Xls 1.5,"R$ 170,00","R$ 0,00","R$ 1.360,00",1,"R$ 0,00"
2393,34622,10/11/22 0:00,10/17/22 0:00,Sim,RTI9F91,Branca,Spin Primier 1.8 8v Econo.Flex 5p Mec,"R$ 280,00","R$ 0,00","R$ 1.680,00",1,"R$ 0,00"
2398,34659,10/17/22 0:00,10/28/22 0:00,Sim,QXV1F11,Branca,Strada Hd Wk Cce,"R$ 145,46","R$ 0,00","R$ 1.600,06",1,"R$ 0,00"
2367,34669,10/17/22 0:00,11/1/22 0:00,Sim,RUT2C77,Cinza,T-cross Highline 1.4 Tsi Flex 16v 5p Aut,"R$ 135,00","R$ 0,00","R$ 2.092,50",1,"R$ 0,00"
2397,34658,10/17/22 0:00,10/28/22 0:00,Sim,RTI9F91,Branca,Spin Primier 1.8 8v Econo.Flex 5p Mec,"R$ 7.200,00","R$ 0,00","R$ 2.640,00",30,"R$ 0,00"
2399,34677,10/19/22 0:00,11/22/22 0:00,Sim,RTB7G42,Cinza,Gol (novo) 1.0 Mi Total Flex 8v 4p,"R$ 93,00","R$ 0,00","R$ 3.162,00",1,"R$ 0,00"
2401,34681,10/20/22 0:00,11/1/22 0:00,Sim,RVD7B30,Branca,Saveiro Robust 1.6 Total Flex 8v,"R$ 210,00","R$ 0,00","R$ 2.520,00",1,"R$ 0,00"
2401,34680,10/20/22 0:00,11/1/22 0:00,Sim,RVD7B33,Branca,Saveiro Robust 1.6 Total Flex 8v,"R$ 210,00","R$ 0,00","R$ 2.520,00",1,"R$ 0,00"
2403,34690,10/21/22 0:00,10/22/22 0:00,Sim,RTI9F90,Branca,Spin Primier 1.8 8v Econo.Flex 5p Mec,"R$ 0,00","R$ 0,00","R$ 0,00",1,"R$ 0,00"
2324,34709,10/24/22 0:00,10/27/22 0:00,Sim,RMR4D64,Preto,Corolla Gli 2.0,"R$ 0,01","R$ 0,00","R$ 0,04",1,"R$ 0,00"
2407,35080,11/4/22 0:00,12/4/22 0:00,Sim,RUF2F66,Branco,Voyage 1.0  Flex 12v 4p,"R$ 2.790,00","R$ 0,00","R$ 2.790,00",30,"R$ 0,00"
1404,35090,11/9/22 0:00,11/21/22 0:00,Sim,RTJ8G45,Preta,Cruze Ltz 1.4 16v Turbo Flex 4p Aut.,"R$ 0,01","R$ 0,00","R$ 0,12",1,"R$ 0,00"
1844,35098,11/11/22 0:00,11/14/22 0:00,Sim,RVD7B33,Branca,Saveiro Robust 1.6 Total Flex 8v,"R$ 290,00","R$ 0,00","R$ 870,00",1,"R$ 0,00"
2408,35102,11/12/22 0:00,11/14/22 0:00,Sim,RTI9F89,Prata,Spin Primier 1.8 8v Econo.Flex 5p Mec,"R$ 280,00","R$ 0,00","R$ 560,00",1,"R$ 0,00"
2410,35114,11/14/22 0:00,11/14/22 0:00,Sim,RVD7B33,Branca,Saveiro Robust 1.6 Total Flex 8v,"R$ 290,00","R$ 0,00","R$ 290,00",1,"R$ 0,00"
2226,35118,11/16/22 0:00,11/19/22 0:00,Sim,QQU2457,Preta,Corolla Gli 1.8 Cvt,"R$ 10.500,00","R$ 0,00","R$ 1.050,00",30,"R$ 0,00"
2414,35172,11/28/22 0:00,12/14/22 0:00,Sim,RUG0I79,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 60,00","R$ 0,00","R$ 960,00",1,"R$ 0,00"
2242,35178,11/30/22 0:00,1/31/23 0:00,Sim,RMO0G75,Prata,Toro Endurance Atd4,"R$ 5.978,55","R$ 0,00","R$ 12.500,01",30,"R$ 0,00"
1566,35884,12/4/22 0:00,2/2/23 0:00,Sim,RUJ9E78,Prata,Gol 1.0 Flex 12v 5p,"R$ 74,69","R$ 0,00","R$ 4.500,07",1,"R$ 0,00"
2416,35514,12/10/22 0:00,12/12/22 0:00,Sim,RVD7B33,Branca,Saveiro Robust 1.6 Total Flex 8v,"R$ 240,00","R$ 0,00","R$ 480,00",1,"R$ 0,00"
1885,35531,12/14/22 0:00,1/19/23 0:00,Sim,RUL0F35,Branca,S10 Pick-up Ltz Dd4 A,"R$ 7.238,50","R$ 0,00","R$ 8.999,57",30,"R$ 0,00"
2420,35550,12/19/22 0:00,12/20/22 0:00,Sim,RUF8J24,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 190,00",1,"R$ 0,00"
1425,35561,12/19/22 0:00,12/31/22 0:00,Sim,QQU2457,Preta,Corolla Gli 1.8 Cvt,"R$ 3.000,00","R$ 0,00","R$ 1.266,67",30,"R$ 0,00"
2422,35597,12/22/22 0:00,1/23/23 0:00,Sim,RUF0B09,Branco,Voyage 1.0  Flex 12v 4p,"R$ 83,00","R$ 0,00","R$ 2.996,00",1,"R$ 340,00"
2419,35607,12/23/22 0:00,1/2/23 0:00,Sim,RTE1C31,Prata,Spin Econoflex 18 Premier 2022,"R$ 228,29","R$ 0,00","R$ 2.489,97",1,"R$ 150,00"
2280,35609,12/23/22 0:00,12/26/22 0:00,Sim,RUF2F64,Branco,Voyage 1.0  Flex 12v 4p,"R$ 190,00","R$ 0,00","R$ 570,00",1,"R$ 0,00"
2410,35560,12/23/22 0:00,12/26/22 0:00,Sim,RUG0I79,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 630,00",1,"R$ 60,00"
2116,35610,12/23/22 0:00,12/27/22 0:00,Sim,RUG0I83,Branco,Gol 1.0 Flex 12v 5p,"R$ 170,00","R$ 0,00","R$ 680,00",1,"R$ 0,00"
2424,35614,12/26/22 0:00,12/31/22 0:00,Sim,RUF0B13,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 170,00","R$ 0,00","R$ 0,00",1,
2424,35839,12/26/22 0:00,1/2/23 0:00,Sim,RUF0B15,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 170,00","R$ 0,00","R$ 1.280,00",1,"R$ 90,00"
2421,35641,12/27/22 0:00,1/9/23 0:00,Sim,RFR5D77,Branca,Doblo Essence 1.8 Flex 16v 5p,"R$ 240,00","R$ 0,00","R$ 3.200,00",1,"R$ 80,00"
2426,35640,12/27/22 0:00,1/5/23 0:00,Sim,RUF0B16,Branco,Voyage 1.0  Flex 12v 4p,"R$ 140,00","R$ 0,00","R$ 1.260,00",1,"R$ 0,00"
2425,35639,12/27/22 0:00,1/30/23 0:00,Sim,RTJ8G45,Preta,Cruze Ltz 1.4 16v Turbo Flex 4p Aut.,"R$ 4.900,00","R$ 0,00","R$ 5.553,32",30,"R$ 0,00"
2427,35652,12/29/22 0:00,1/2/23 0:00,Sim,RUF2F64,Branco,Voyage 1.0  Flex 12v 4p,"R$ 170,00","R$ 0,00","R$ 780,00",1,"R$ 100,00"
2427,35653,12/29/22 0:00,1/2/23 0:00,Sim,RUF8J24,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 170,00","R$ 0,00","R$ 780,00",1,"R$ 100,00"
2429,35887,1/4/23 0:00,1/5/23 0:00,Sim,RTE1C31,Prata,Spin Econoflex 18 Premier 2022,"R$ 280,00","R$ 0,00","R$ 280,00",1,"R$ 0,00"
1808,35897,1/5/23 0:00,1/31/23 0:00,Sim,RFT6C18,Branco,Hilux Cd 4x4 2.8 Diesel Mec,"R$ 7.289,80","R$ 0,00","R$ 6.500,00",30,"R$ 0,01"
2433,35934,1/9/23 0:00,1/19/23 0:00,Sim,RMY0A60,Prata,VOYAGE 1.6 L MB5,"R$ 116,13","R$ 0,00","R$ 1.200,01",1,"R$ 0,00"
1383,35939,1/10/23 0:00,1/19/23 0:00,Sim,RUF8J24,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 133,33","R$ 0,00","R$ 1.199,97",1,"R$ 0,00"
1541,35971,1/13/23 0:00,1/13/23 0:00,Sim,RMY0E62,Prata,VOYAGE 1.6 L MB5,"R$ 190,00","R$ 0,00","R$ 190,00",1,"R$ 0,00"
2432,35981,1/14/23 0:00,1/23/23 0:00,Sim,RTE1C31,Prata,Spin Econoflex 18 Premier 2022,"R$ 250,71","R$ 0,00","R$ 2.339,96",1,"R$ 0,00"
2437,36008,1/19/23 0:00,1/23/23 0:00,Sim,RMO0G66,Branca,Spin Primier 1.8 8v Econo.Flex 5p Mec,"R$ 280,00","R$ 0,00","R$ 1.165,50",1,"R$ 0,00"
2439,36014,1/20/23 0:00,1/23/23 0:00,Sim,QWZ0014,Branca,Amarok V6 High Ac4,"R$ 260,00","R$ 0,00","R$ 0,00",1,
2439,36466,1/20/23 0:00,2/27/23 0:00,Sim,RUL0F35,Branca,S10 Pick-up Ltz Dd4 A,"R$ 253,16","R$ 0,00","R$ 9.620,08",1,"R$ 0,00"
2434,36015,1/20/23 0:00,1/25/23 0:00,Sim,RTI9F93,Branca,Spin Primier 1.8 8v Econo.Flex 5p Mec,"R$ 333,00","R$ 0,00","R$ 1.665,00",1,"R$ 0,00"
2440,36028,1/23/23 0:00,1/25/23 0:00,Sim,RUJ9E77,Branco,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 453,15",1,"R$ 0,00"
1721,36041,1/26/23 0:00,1/31/23 0:00,Sim,RMR4D64,Preto,Corolla Gli 2.0,"R$ 380,00","R$ 0,00","R$ 2.090,00",1,"R$ 0,00"
1105,36368,2/8/23 0:00,2/10/23 0:00,Sim,RUF8J24,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 124,13","R$ 0,00","R$ 300,00",1,"R$ 0,02"
1404,36380,2/9/23 0:00,2/14/23 0:00,Sim,RTB7G39,Prata Sirius,Gol G7 1.6 Completo Trend Line,"R$ 190,00","R$ 212,52","R$ 1.162,52",1,"R$ 0,00"
2457,36394,2/11/23 0:00,2/16/23 0:00,Sim,RUG0I82,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 950,00",1,"R$ 0,00"
2463,36415,2/17/23 0:00,2/23/23 0:00,Sim,RUF8J24,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 1.140,00",1,"R$ 0,00"
2462,36416,2/17/23 0:00,2/22/23 0:00,Sim,RUF2F60,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 190,00","R$ 0,00","R$ 1.029,17",1,"R$ 0,00"
2457,36438,2/23/23 0:00,2/24/23 0:00,Sim,RMF0A23,Cinza,Gol 1.6 Msi Flex 8v 5p,"R$ 190,00","R$ 0,00","R$ 190,00",1,"R$ 0,00"
2451,36442,2/24/23 0:00,2/28/23 0:00,Sim,RMY0A62,Cinza,Voyage 1.6 Af5,"R$ 168,00","R$ 0,00","R$ 840,00",1,"R$ 0,00"
2466,36566,2/28/23 0:00,3/30/23 0:00,Sim,QPY8529,Branca,Fiorino Hard Working,"R$ 2.290,00","R$ 0,00","R$ 2.290,00",30,"R$ 0,00"
2465,36467,2/28/23 0:00,3/1/23 0:00,Sim,QUL7866,Branca,Strada Hd Wk Cce,"R$ 240,00","R$ 0,00","R$ 240,00",1,"R$ 0,00"
1541,36787,3/6/23 0:00,3/8/23 0:00,Sim,RMY0E62,Prata,VOYAGE 1.6 L MB5,"R$ 190,00","R$ 0,00","R$ 480,00",1,"R$ 100,00"
2472,36831,3/16/23 0:00,3/21/23 0:00,Sim,RTI9F89,Prata,Spin Primier 1.8 8v Econo.Flex 5p Mec,"R$ 280,00","R$ 0,00","R$ 1.561,20",1,"R$ 0,00"
1242,36840,3/17/23 0:00,3/20/23 0:00,Sim,RMD5B18,Branca,Frontier Xe At 4x4 2.3 Diesel,"R$ 500,00","R$ 0,00","R$ 1.500,00",1,"R$ 0,00"
2473,36841,3/18/23 0:00,3/27/23 0:00,Sim,RMU7D26,Branca,Toro Endurance 1.8 Mt5,"R$ 218,00","R$ 0,00","R$ 2.107,33",1,"R$ 0,00"
1541,36866,3/22/23 0:00,3/22/23 0:00,Sim,RUF0B06,Branco,Voyage 1.0  Flex 12v 4p,"R$ 190,00","R$ 0,00","R$ 190,00",1,"R$ 0,00"
2266,36869,3/22/23 13:20,4/14/23 0:00,Não,RNZ4C91,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 120,00","R$ 0,00","R$ 0,00",1,
2477,36893,3/27/23 0:00,3/31/23 0:00,Sim,RGA5J84,Prata,STRADA ENDURANCE CS 1.4 02,"R$ 209,45","R$ 0,00","R$ 959,98",1,"R$ 0,00"
1541,36909,3/28/23 0:00,3/29/23 0:00,Sim,RMY0E62,Prata,VOYAGE 1.6 L MB5,"R$ 190,00","R$ 0,00","R$ 190,00",1,"R$ 0,00"
2466,37081,3/30/23 15:55,4/29/23 0:00,Não,QPY8529,Branca,Fiorino Hard Working,"R$ 2.290,00","R$ 0,00","R$ 0,00",30,
2478,37156,4/3/23 0:00,4/4/23 0:00,Sim,RTP4D10,Branca,Saveiro Robust 1.6 Total Flex 8v,"R$ 240,00","R$ 0,00","R$ 240,00",1,"R$ 0,00"
2479,37217,4/4/23 0:00,4/10/23 0:00,Sim,RTE1C31,Prata,Spin Econoflex 18 Premier 2022,"R$ 280,00","R$ 0,00","R$ 1.680,00",1,"R$ 0,00"
2325,37220,4/5/23 0:00,4/10/23 0:00,Sim,RMD5B18,Branca,Frontier Xe At 4x4 2.3 Diesel,"R$ 500,00","R$ 0,00","R$ 3.072,80",1,"R$ 250,00"
2480,37221,4/5/23 0:00,4/10/23 0:00,Sim,RTI9F89,Prata,Spin Primier 1.8 8v Econo.Flex 5p Mec,"R$ 280,00","R$ 0,00","R$ 1.800,00",1,"R$ 400,00"
2283,37243,4/5/23 16:44,4/11/23 0:00,Sim,RNZ7J08,Preto,Corolla Cross Xre 2.0 16v. Flex Aut.,"R$ 300,00","R$ 0,00","R$ 1.870,00",1,"R$ 70,00"
2392,37245,4/5/23 17:17,4/16/23 0:00,Não,QWY6223,Branca,Toro Endurance Atd4,"R$ 363,63","R$ 0,00","R$ 0,00",1,
235,37244,4/6/23 0:00,4/19/23 0:00,Não,RUL0F35,Branca,S10 Pick-up Ltz Dd4 A,"R$ 270,00","R$ 0,00","R$ 0,00",1,
2280,37288,4/14/23 16:37,4/17/23 0:00,Sim,RUF2F65,Branco,Voyage 1.0  Flex 12v 4p,"R$ 190,00","R$ 0,00","R$ 570,00",1,"R$ 0,00"
2487,37290,4/15/23 0:00,4/22/23 0:00,Não,RTI9F95,Branca,Spin Primier 1.8 8v Econo.Flex 5p Mec,"R$ 260,00","R$ 0,00","R$ 0,00",1,
1493,37294,4/18/23 0:00,5/18/23 0:00,Não,RTJ8G45,Preta,Cruze Ltz 1.4 16v Turbo Flex 4p Aut.,"R$ 160,00","R$ 0,00","R$ 0,00",1,
