CodigoCliente,CodigoContrato,DataInicio,DataTermino,Fechado,Placa,Cor,Modelo,ValorPeriodoVeiculo,ValorCombustivel,ValorLocacao,PeriodoTarifa,ValorDiversos
2282,29977,1/18/22 0:00,2/3/22 0:00,Sim,RFI4A48,Branco,Ka Se 1.0 Ha,"R$ 73,35","R$ 0,00","R$ 0,00",1,
2283,29978,1/18/22 0:00,1/24/22 0:00,Sim,QQH9652,Cinza,Hr-v Ex 1.8 Flexone 16v 5p Aut.,"R$ 275,00","R$ 0,00","R$ 1.690,00",1,"R$ 40,00"
2116,29985,1/19/22 0:00,1/25/22 0:00,Sim,QWU1064,Prata,Etios Hb Xls 1.5,"R$ 110,00","R$ 0,00","R$ 770,00",1,"R$ 27,50"
2113,30039,1/21/22 0:00,1/31/22 0:00,Sim,RTI9F68,Cinza,Gol 1.6 Msi Flex 8v 5p,"R$ 160,00","R$ 0,00","R$ 1.630,00",1,"R$ 30,00"
2288,30080,1/26/22 0:00,2/1/22 0:00,Sim,RMF0A21,Cinza,Gol 1.6 Msi Flex 8v 5p,"R$ 190,00","R$ 0,00","R$ 1.643,95",1,"R$ 370,00"
823,30427,2/4/22 0:00,2/14/22 0:00,Sim,RTI9F68,Cinza,Gol 1.6 Msi Flex 8v 5p,"R$ 108,00","R$ 0,00","R$ 1.080,00",1,"R$ 0,00"
2284,30000,2/10/22 0:00,2/21/22 0:00,Sim,RTI3A45,Cinza,Gol 1.6 Msi Flex 8v 5p,"R$ 100,00","R$ 0,00","R$ 1.150,00",1,"R$ 0,00"
816,30560,2/21/22 0:00,3/22/22 0:00,Sim,RMR4D64,Preto,Corolla Gli 2.0,"R$ 3.865,99","R$ 0,00","R$ 3.737,12",30,"R$ 0,00"
2297,30644,2/25/22 0:00,3/2/22 0:00,Sim,QXS3A06,Cinza,Spin Primier 1.8 8v Econo.Flex 5p Mec,"R$ 230,00","R$ 0,00","R$ 1.150,00",1,"R$ 0,00"
1404,30639,2/25/22 0:00,2/25/22 0:00,Sim,QXV1F13,Prata,Gol 1.0 Flex 12v 5p,"R$ 150,00","R$ 0,00","R$ 0,00",1,
1404,30885,2/25/22 0:00,3/3/22 0:00,Sim,RFT6C13,Prata,Gol 1.6 Msi Flex 8v 5p,"R$ 150,00","R$ 0,00","R$ 900,00",1,"R$ 0,00"
823,30888,3/3/22 0:00,3/7/22 0:00,Sim,RFT6C13,Prata,Gol 1.6 Msi Flex 8v 5p,"R$ 110,00","R$ 53,13","R$ 553,13",1,"R$ 60,00"
823,30887,3/3/22 0:00,3/3/22 0:00,Sim,RME6J15,Prata,Gol 1.6 Msi Flex 8v 5p,"R$ 110,00","R$ 0,00","R$ 0,00",1,
1983,30918,3/7/22 0:00,3/12/22 0:00,Sim,RTC9D83,Cinza,Gol G7 1.6 Completo Trend Line,"R$ 140,00","R$ 0,00","R$ 760,00",1,"R$ 60,00"
2300,31000,3/18/22 0:00,3/30/22 0:00,Sim,RFT6C18,Branco,Hilux Cd 4x4 2.8 Diesel Mec,"R$ 458,30","R$ 0,00","R$ 5.499,60",1,"R$ 0,00"
696,31024,3/21/22 0:00,3/26/22 0:00,Sim,RTH7F00,Prata,Frontier Sccd 4x4 2.3 Tb Diesel Mec.,"R$ 450,00","R$ 75,90","R$ 2.325,90",1,"R$ 0,00"
235,31071,3/22/22 0:00,4/16/22 0:00,Sim,QQU9615,Preta,Corolla Gli 1.8 Cvt,"R$ 140,00","R$ 0,00","R$ 3.500,00",1,"R$ 0,00"
1305,31072,3/23/22 0:00,3/23/22 0:00,Sim,RFP7J90,Branca,Ka Se 1.0 Ha,"R$ 120,00","R$ 0,00","R$ 0,00",1,
1305,31073,3/23/22 0:00,3/30/22 0:00,Sim,RME6J07,Cinza,Gol 1.6 Msi Flex 8v 5p,"R$ 130,00","R$ 0,00","R$ 910,00",1,"R$ 0,00"
1305,31466,3/30/22 0:00,4/4/22 0:00,Sim,RME6J07,Cinza,Gol 1.6 Msi Flex 8v 5p,"R$ 130,00","R$ 0,00","R$ 650,00",1,"R$ 0,00"
2304,31324,4/1/22 0:00,4/18/22 0:00,Sim,QXD1031,Cinza,Etios Platinum Sed. 1.5 Flex 16v 4p Aut.,"R$ 200,00","R$ 0,00","R$ 3.550,00",1,"R$ 0,00"
405,31477,4/13/22 0:00,4/14/22 0:00,Sim,RFF0F38,Prata Sirius,VOYAGE 1.6 L MB5,"R$ 190,00","R$ 0,00","R$ 190,00",1,"R$ 0,00"
2116,31501,4/14/22 0:00,4/18/22 0:00,Sim,RFT2A86,Cinza Moscou,Ka Se 1.0 Ha,"R$ 160,00","R$ 0,00","R$ 700,00",1,"R$ 60,00"
2306,31886,5/3/22 0:00,6/3/22 0:00,Sim,RMY4H27,Prata,Versa 16 Sv Cvt,"R$ 125,80","R$ 0,00","R$ 3.959,80",1,"R$ 60,00"
2310,31945,5/6/22 0:00,5/9/22 0:00,Sim,RTJ8G45,Preta,Cruze Ltz 1.4 16v Turbo Flex 4p Aut.,"R$ 0,01","R$ 0,00","R$ 0,03",1,"R$ 0,00"
2309,31941,5/6/22 0:00,5/11/22 0:00,Sim,RFT6C13,Prata,Gol 1.6 Msi Flex 8v 5p,"R$ 162,00","R$ 0,00","R$ 810,00",1,"R$ 0,00"
2308,31936,5/6/22 0:00,5/9/22 0:00,Sim,RFT6C18,Branco,Hilux Cd 4x4 2.8 Diesel Mec,"R$ 500,00","R$ 0,00","R$ 1.500,00",1,"R$ 0,00"
1305,32042,5/20/22 0:00,5/25/22 0:00,Sim,RNZ4D02,Cinza,Gol (novo) 1.0 Mi Total Flex 8v 4p,"R$ 140,00","R$ 0,00","R$ 700,00",1,"R$ 0,00"
2314,32075,5/23/22 0:00,6/30/22 0:00,Sim,RUF2F60,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 75,00","R$ 0,00","R$ 2.850,00",1,"R$ 0,00"
2280,32106,5/27/22 0:00,5/30/22 0:00,Sim,RUG0I75,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 180,00","R$ 0,00","R$ 540,00",1,"R$ 0,00"
2316,32110,5/28/22 0:00,5/31/22 0:00,Sim,RUG0I84,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 0,01","R$ 0,00","R$ 0,03",1,"R$ 0,00"
2323,32498,6/10/22 0:00,6/13/22 0:00,Sim,RUG0I79,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 842,25",1,"R$ 272,25"
2265,32504,6/10/22 0:00,6/13/22 0:00,Sim,RUG0I84,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 570,00",1,"R$ 0,00"
1148,32545,6/14/22 0:00,6/20/22 0:00,Sim,RUF0B07,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 140,00","R$ 0,00","R$ 840,00",1,"R$ 0,00"
2325,32552,6/15/22 0:00,6/20/22 0:00,Sim,RFT6C18,Branco,Hilux Cd 4x4 2.8 Diesel Mec,"R$ 500,00","R$ 0,00","R$ 2.500,00",1,"R$ 0,00"
2326,32566,6/17/22 0:00,6/20/22 0:00,Sim,RUG0I75,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 570,00",1,"R$ 0,00"
2326,32565,6/17/22 0:00,6/17/22 0:00,Sim,RUG0I84,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 1.300,00","R$ 0,00","R$ 0,00",20,
1305,32585,6/20/22 0:00,7/6/22 0:00,Sim,RUG7I36,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 70,00","R$ 0,00","R$ 0,00",1,
1305,32982,6/20/22 0:00,7/12/22 0:00,Sim,RUG7I36,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 70,00","R$ 0,00","R$ 1.540,00",1,"R$ 0,00"
1305,32977,6/20/22 0:00,7/6/22 0:00,Sim,RUG7I37,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 70,00","R$ 0,00","R$ 0,00",1,
2280,32605,6/24/22 0:00,6/27/22 0:00,Sim,RUF0B13,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 180,00","R$ 0,00","R$ 540,00",1,"R$ 0,00"
2265,32606,6/24/22 0:00,6/27/22 0:00,Sim,RFJ4G55,Branco,Gol 1.0 Flex 12v 5p,"R$ 180,00","R$ 0,00","R$ 600,00",1,"R$ 60,00"
1087,32609,6/26/22 0:00,8/29/22 0:00,Sim,RTJ8G45,Preta,Cruze Ltz 1.4 16v Turbo Flex 4p Aut.,"R$ 135,00","R$ 0,00","R$ 8.640,00",1,"R$ 0,00"
1541,32646,6/28/22 0:00,6/30/22 0:00,Sim,RUG0I80,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 440,00",1,"R$ 60,00"
269,32651,6/29/22 0:00,7/14/22 0:00,Sim,RUF0B07,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 80,00","R$ 0,00","R$ 1.200,00",1,"R$ 0,00"
1885,32652,6/29/22 0:00,8/19/22 0:00,Sim,RUF0B11,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 62,00","R$ 0,00","R$ 3.162,00",1,"R$ 0,00"
1908,32978,7/6/22 0:00,7/11/22 0:00,Sim,RUG0I80,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 140,00","R$ 0,00","R$ 805,00",1,"R$ 0,00"
2331,32994,7/8/22 0:00,7/11/22 0:00,Sim,QQK1136,Prata,Gol 1.6 Msi Flex 8v 5p,"R$ 190,00","R$ 212,52","R$ 842,52",1,"R$ 60,00"
1242,33006,7/8/22 0:00,7/9/22 0:00,Sim,RUF2F63,Branco,Voyage 1.0  Flex 12v 4p,"R$ 190,00","R$ 0,00","R$ 190,00",1,"R$ 0,00"
2330,32992,7/8/22 0:00,7/11/22 0:00,Sim,RUF8J23,Branco,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 570,00",1,"R$ 0,00"
2332,32995,7/9/22 0:00,7/21/22 0:00,Sim,RTP4D09,Branca,Saveiro Robust 1.6 Total Flex 8v,"R$ 170,00","R$ 0,00","R$ 2.040,00",1,"R$ 0,00"
1242,33010,7/11/22 0:00,7/12/22 0:00,Sim,RUJ9E76,Prata,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 190,00",1,"R$ 0,00"
304,33021,7/12/22 0:00,7/15/22 0:00,Sim,QUT0329,Branca,Fiorino Furgão 1.4 Flex,"R$ 210,00","R$ 0,00","R$ 903,05",1,"R$ 0,00"
1541,33042,7/14/22 0:00,7/19/22 0:00,Sim,RUJ9E77,Branco,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 950,00",1,"R$ 0,00"
2334,33058,7/15/22 0:00,7/18/22 0:00,Sim,RFX5E14,Branca,STRADA ENDURANCE CS 1.4 02,"R$ 240,00","R$ 0,00","R$ 720,00",1,"R$ 0,00"
2336,33065,7/18/22 0:00,7/19/22 0:00,Sim,RUJ9E72,Prata,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 190,00",1,"R$ 0,00"
340,33071,7/19/22 0:00,7/21/22 0:00,Sim,RUG0I75,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 150,00","R$ 0,00","R$ 300,00",1,"R$ 0,00"
1305,33073,7/19/22 0:00,8/2/22 0:00,Sim,RUJ9E77,Branco,Gol 1.0 Flex 12v 5p,"R$ 70,00","R$ 0,00","R$ 1.710,00",1,"R$ 730,00"
1268,33063,7/20/22 0:00,7/26/22 0:00,Sim,RUN3A37,Prata,Gol 1.0 Flex 12v 5p,"R$ 150,00","R$ 0,00","R$ 900,00",1,"R$ 0,00"
1845,33094,7/21/22 0:00,8/15/22 0:00,Sim,RUG0I75,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 2.790,00","R$ 0,00","R$ 2.325,00",30,"R$ 0,00"
2337,33089,7/21/22 0:00,7/25/22 0:00,Sim,RUJ9E78,Prata,Gol 1.0 Flex 12v 5p,"R$ 140,00","R$ 0,00","R$ 560,00",1,"R$ 0,00"
2338,33095,7/22/22 0:00,8/15/22 0:00,Sim,RUG0I79,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 2.790,00","R$ 0,00","R$ 2.301,75",30,"R$ 0,00"
2342,33400,7/22/22 0:00,8/15/22 0:00,Sim,RML0C55,Prata,Gol 1.6 Msi Flex 8v 5p,"R$ 93,00","R$ 0,00","R$ 2.292,00",1,"R$ 60,00"
2116,33117,7/23/22 0:00,7/26/22 0:00,Sim,RUN3A36,Prata,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 570,00",1,"R$ 0,00"
2343,33159,7/26/22 0:00,8/15/22 0:00,Sim,RUL0F35,Branca,S10 Pick-up Ltz Dd4 A,"R$ 256,66","R$ 0,00","R$ 5.133,20",1,"R$ 0,00"
360,33148,7/26/22 0:00,8/2/22 0:00,Sim,QPC0362,Prata,Doblo Essence 1.8 Flex 16v 5p,"R$ 0,01","R$ 0,00","R$ 0,00",30,"R$ 0,00"
2341,33139,7/26/22 0:00,8/1/22 0:00,Sim,RTE1C31,Prata,Spin Econoflex 18 Premier 2022,"R$ 280,00","R$ 0,00","R$ 1.740,00",1,"R$ 60,00"
521,33149,7/26/22 0:00,8/25/22 0:00,Sim,RUF0B07,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 2.790,00","R$ 0,00","R$ 2.790,00",30,"R$ 0,00"
2344,33168,7/27/22 0:00,8/26/22 0:00,Sim,RUJ9E73,Branco,Gol 1.0 Flex 12v 5p,"R$ 2.300,00","R$ 0,00","R$ 2.300,00",30,"R$ 0,00"
2346,33177,7/28/22 0:00,7/28/22 0:00,Sim,RUF8J21,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 2.790,00","R$ 0,00","R$ 0,00",30,
2346,33570,7/28/22 0:00,8/15/22 0:00,Sim,RUF8J21,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 2.790,00","R$ 0,00","R$ 1.751,50",30,"R$ 0,00"
1666,33181,7/28/22 0:00,8/7/22 0:00,Sim,RMO6H54,Branco,Gol 1.6 Msi Flex 8v 5p,"R$ 200,00","R$ 0,00","R$ 2.000,00",1,"R$ 0,00"
2347,33178,7/28/22 0:00,8/8/22 0:00,Sim,RUG7I38,Prata Sirius,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 2.090,00",1,"R$ 0,00"
2348,33329,7/30/22 0:00,8/9/22 0:00,Sim,RUJ7H08,Branca,S10 Pick-up Ltz Dd4 A,"R$ 450,00","R$ 0,00","R$ 4.500,00",1,"R$ 0,00"
2119,33330,7/30/22 0:00,8/1/22 0:00,Sim,RNZ4C99,Prata Sirius,Gol (novo) 1.0 Mi Total Flex 8v 4p,"R$ 190,00","R$ 0,00","R$ 440,00",1,"R$ 60,00"
2349,33412,8/1/22 0:00,8/30/22 0:00,Sim,RUF0B15,Prata Sirius,Voyage 1.0  Flex 12v 4p,"R$ 2.945,00","R$ 0,00","R$ 2.850,00",30,"R$ 3,07"
1541,33417,8/2/22 0:00,8/4/22 0:00,Sim,RUN3A37,Prata,Gol 1.0 Flex 12v 5p,"R$ 190,00","R$ 0,00","R$ 440,00",1,"R$ 60,00"
2257,33415,8/2/22 0:00,8/3/22 0:00,Sim,RUF2F64,Branco,Voyage 1.0  Flex 12v 4p,"R$ 190,00","R$ 0,00","R$ 190,00",1,"R$ 0,00"
2352,33420,8/3/22 0:00,8/15/22 0:00,Sim,RUJ9E76,Prata,Gol 1.0 Flex 12v 5p,"R$ 2.790,00","R$ 0,00","R$ 1.209,00",30,"R$ 0,00"
