NU_INSCRICAO,Q001,Q002,Q005,Q006,Q007
210055262577,E,E,5,G,A
210055715787,H,H,3,C,A
210056441865,B,E,5,D,A
210057301418,H,F,2,C,A
210056591687,C,C,4,B,A
210056935404,C,E,4,C,A
210056447352,D,E,3,G,A
210057930824,B,D,5,D,A
210055466773,D,G,3,E,A
210056939341,E,A,3,B,A
210054640473,F,C,1,I,A
210055605612,D,B,1,C,A
210054564564,B,B,4,B,A
210057599599,B,C,5,J,A
210055650247,E,G,3,J,A
210057531735,H,D,2,C,A
210054590733,E,A,2,C,A
210057974328,H,E,7,E,A
210055309687,C,C,2,C,A
210056247278,D,E,3,E,A
210056240673,B,D,4,C,A
210056886735,B,B,5,B,A
210057052835,A,C,4,C,A
210055772733,B,E,5,B,A
210055634023,E,E,4,D,A
210055284230,E,E,2,C,A
210057843350,E,G,4,B,A
210055514854,E,E,6,B,A
210056937740,B,D,4,C,A
210055758229,E,C,2,C,A
210056663849,B,F,3,B,A
210057598947,D,E,2,B,A
210054779247,C,B,1,A,A
210055936898,C,C,2,I,A
210055652641,C,C,1,B,A
210057391173,F,F,3,F,A
210056687407,H,G,4,B,A
210055691616,D,E,3,B,A
210057829765,E,F,6,C,A
210056925247,B,B,1,B,A
210055952247,E,C,2,D,A
210056644589,B,B,5,B,A
210055685872,C,E,4,G,A
210057829356,C,G,2,E,A
210054558903,D,E,3,C,A
210055383465,E,E,4,C,A
210055517595,D,E,4,C,A
210055726880,H,E,5,D,A
210057906274,D,C,3,C,A
210056862792,E,G,5,E,A
210055563576,C,D,3,C,A
210055739577,E,D,4,G,A
210055319919,E,E,3,E,A
210056246175,B,C,3,A,A
210056580454,C,C,3,C,A
210057598924,F,G,2,E,A
210056250963,D,E,6,D,A
210055507362,C,F,2,E,A
210057835214,H,C,3,E,A
210055716394,E,B,5,B,A
210055260923,B,C,3,D,A
210055309270,A,B,4,B,A
210056447458,B,D,4,B,A
210054682712,E,F,2,C,A
210055731589,C,E,3,C,A
210055745784,D,D,6,B,A
210057108151,E,E,2,C,A
210056245802,C,D,3,B,A
210055899391,E,F,6,F,A
210055564808,H,G,2,F,A
210055578596,B,B,3,C,A
210056707974,D,D,4,C,A
210056665607,H,H,5,F,A
210055748084,D,E,2,B,A
210057153614,E,E,3,C,A
210056926719,B,C,2,C,A
210054569630,B,B,3,D,A
210056538086,H,E,4,B,A
210057818977,C,C,1,B,A
210056797622,B,B,1,C,A
210057384376,A,B,2,B,A
210056226196,C,D,6,B,A
210055292716,H,B,7,C,A
210055541011,D,F,4,D,A
210056223304,B,B,2,B,A
210055096625,D,B,2,D,A
210055623879,B,B,3,A,A
210055626134,E,C,4,E,A
210055629144,D,F,5,C,A
210056547209,F,F,3,E,A
210055684618,E,E,4,C,A
210055743201,E,C,5,E,A
210054859056,F,E,7,G,A
210057738644,E,B,1,C,A
210057313761,D,E,3,B,A
210055747637,C,D,3,C,A
210055407652,E,F,4,D,A
210056571528,D,E,3,B,A
210057317138,E,G,5,G,A
210057732673,E,F,4,E,A
210056234203,D,E,3,D,A
210055052494,F,G,4,M,D
210055770307,B,B,5,F,A
210055622253,C,E,3,C,A
210056482403,E,E,4,B,A
210057974593,E,D,4,B,A
210057131041,G,C,5,N,A
210055771434,C,C,6,G,A
210057114245,E,G,2,H,A
210056675172,B,C,2,B,A
210056926885,C,B,4,E,A
210057593098,E,C,5,G,A
210055362619,E,E,3,F,A
210055453887,E,E,3,H,A
210056707096,C,C,2,B,A
210056928292,F,E,3,C,A
210055730262,D,F,5,E,A
210057595020,H,D,4,B,A
210055759476,D,C,5,C,A
210056888343,B,C,2,B,A
210055528410,E,F,2,D,A
210055536378,B,E,3,G,A
210055387132,D,F,3,E,A
210055210935,H,H,6,F,A
210056230573,E,D,3,H,A
210057575060,C,E,2,D,A
210057306643,G,D,2,C,A
210057380314,B,C,3,C,A
210055768725,E,E,4,B,A
210056899808,B,E,4,E,A
210057829728,E,E,4,B,A
210055500450,C,D,4,G,A
210056537970,E,F,5,E,A
210057516330,B,C,2,E,A
210057388378,H,B,2,B,A
210057332791,D,E,3,D,A
210056677422,G,G,4,H,A
210055509178,H,H,5,E,A
210056710647,F,E,5,G,A
210056930043,B,B,3,C,A
210057838218,E,C,2,B,A
210055346275,B,G,3,C,A
210056672841,E,D,4,G,D
210057771467,E,G,4,C,A
210054561625,C,E,4,D,A
210055789656,H,D,3,B,B
210055575279,E,G,4,K,D
210056256718,B,C,4,B,A
210057091996,D,F,4,A,A
210057811014,C,E,3,E,A
210056590045,H,C,2,B,A
210055376192,F,D,1,B,A
210055744720,C,G,4,G,A
210057106797,C,E,4,B,A
210055746627,D,E,2,D,A
210057375043,E,E,5,F,A
210056668466,G,D,3,G,A
210055768603,E,E,6,C,A
210056883252,B,C,3,D,A
210057714820,B,B,3,C,A
210056871162,H,E,2,B,A
210054544551,E,E,5,D,A
210055657905,D,G,2,D,A
210055750689,B,C,6,C,A
210055633440,F,C,2,E,A
210057842653,B,E,4,C,A
210056931071,B,B,3,D,A
210056653548,E,G,4,H,A
210057776454,C,F,4,E,A
210055036530,C,C,2,B,A
210056481794,B,B,4,D,A
210054521624,H,G,5,G,A
210055736742,C,C,5,C,A
210054538642,E,D,5,D,A
210055591353,C,D,1,B,A
210055765965,B,B,7,F,A
210056578753,C,E,3,F,B
210056588050,B,F,3,G,A
210057786446,A,B,4,C,A
210056591232,C,E,4,B,A
210055705244,F,D,3,D,A
210057758836,F,E,3,I,A
210056355668,B,B,3,G,A
210057199385,A,A,2,E,A
210055587567,E,G,3,G,A
210055709101,C,C,4,C,A
210055641437,C,B,4,B,A
210057367337,E,E,4,D,A
210055526284,E,G,2,H,A
210056598141,A,B,5,B,A
210055649633,H,H,4,C,A
210056914694,C,D,5,E,A
210056572774,E,C,5,D,A
210057363851,E,D,2,B,A
210057385105,E,C,3,C,A
210055547594,G,F,4,P,B
210056450285,C,C,4,D,A
210057316473,B,F,3,G,A
210056263058,D,D,5,B,A
210055348332,B,D,4,F,A
210055913992,B,E,4,G,A
210057084754,E,F,5,F,A
210055799247,B,F,3,B,A
210057536696,B,B,4,C,A
210054952104,C,C,4,D,A
210057930613,C,C,5,G,A
210055472177,C,G,3,D,A
210055477749,E,E,4,E,A
210055712201,D,E,3,B,A
210057252234,E,B,3,B,A
210055298485,C,C,4,E,A
210055552374,B,C,3,A,A
210055400959,D,E,4,E,A
210056659388,E,E,4,B,A
210056224970,H,H,3,B,A
210057379125,H,E,3,G,B
210057559027,B,B,3,B,A
210054566926,C,F,4,D,A
210055620807,E,C,3,B,A
210055677690,F,F,4,H,A
210057117655,E,D,2,D,A
210054570438,C,B,3,C,A
210055740703,B,C,5,F,A
210055621800,E,F,4,M,A
210055258600,E,E,4,D,A
210057381407,C,B,2,D,A
210057555942,C,C,2,B,A
210056248001,E,F,5,D,A
210056675195,D,D,2,B,A
210057567290,E,E,5,D,A
210055600763,E,E,4,F,A
210056480951,H,E,3,D,A
210054771581,E,B,3,F,A
210057804138,C,C,2,B,A
210056538666,H,H,4,C,A
210056875394,B,G,4,F,A
210055535936,C,C,4,C,A
210056662121,D,D,3,G,A
210057187494,B,B,7,E,A
210057695871,F,E,3,C,A
210057152186,F,E,4,B,A
210055165538,E,G,4,J,A
210054543585,E,D,4,G,A
210055787247,E,D,3,B,B
210055593717,E,B,4,G,A
210056646782,E,E,6,F,A
210055467549,B,E,2,B,A
210055570967,E,E,3,C,A
210057275896,H,E,2,C,A
210055735205,F,E,3,H,A
210054562947,C,D,2,B,A
210057780315,E,E,5,E,A
210056433954,C,E,3,D,A
210057514918,E,E,2,H,A
210055481928,H,E,3,D,A
210055296354,H,G,3,F,B
210055653178,D,E,4,D,A
210057827553,H,B,3,B,A
210055715262,E,E,3,D,A
210055679460,E,E,6,C,A
210054644806,B,B,1,C,A
210054558770,C,C,5,C,A
210055759256,B,D,4,D,A
210055750970,C,D,6,E,A
210057128986,E,E,4,D,A
210057149927,B,B,1,B,A
210055615413,E,G,4,D,A
210056463602,C,D,5,B,C
210056882490,G,F,4,D,A
210057319491,A,E,4,B,A
210055448773,D,F,3,F,A
210055401033,C,G,4,D,A
210056264460,H,C,3,B,A
210055498183,C,E,3,C,A
210056248227,C,C,4,D,A
210054542932,E,D,2,C,A
210055472223,B,B,3,E,A
210055722676,C,C,5,D,A
210055633548,B,C,2,A,A
210055300902,C,A,3,B,A
210056928993,E,E,4,D,A
210055118507,G,F,6,C,A
210057934235,E,B,2,B,A
210057601290,F,F,2,B,A
210055651805,G,F,3,E,A
210056540209,E,D,4,D,A
210057396909,B,C,3,D,A
