NU_INSCRICAO,Q001,Q002,Q005,Q006,Q007
210056923258,B,D,3,C,A
210057387787,H,E,2,B,A
210056585891,E,C,3,D,A
210054540006,G,E,4,G,A
210057399144,F,F,2,D,A
210056941101,G,E,4,L,B
210056941503,E,C,3,J,A
210055734528,C,C,6,E,A
210055736026,C,E,5,F,A
210055699546,B,E,4,E,A
210056647143,C,C,3,B,A
210056748319,B,B,3,G,A
210056259839,E,E,4,C,A
210054540109,E,E,4,F,A
210054552091,E,E,5,G,A
210055314816,D,D,4,C,A
210057841578,E,G,4,F,A
210055581401,E,E,5,E,A
210055495220,D,E,2,E,A
210055695669,B,E,3,F,A
210056645617,E,D,5,C,A
210055607119,D,F,9,C,A
210055551034,G,G,3,L,B
210056614422,F,G,2,A,A
210055763545,H,C,5,C,A
210057094999,H,E,5,C,A
210056943054,C,F,3,F,A
210056905014,F,E,3,J,A
210056686944,B,B,3,E,A
210056432131,C,C,3,B,A
210055783491,D,E,5,C,A
210056935893,E,G,4,E,A
210057129438,F,F,3,Q,D
210057743848,G,G,4,O,B
210055769737,E,F,3,C,A
210056899598,B,C,4,C,A
210057369706,D,F,4,G,A
210055677502,E,E,4,E,A
210057358805,B,C,3,C,A
210057129590,B,E,5,B,A
210057711919,E,E,3,C,A
210056949258,E,E,5,C,A
210056257785,E,D,4,C,A
210055484712,H,G,6,F,A
210055199094,E,E,4,G,A
210055766573,C,D,4,D,A
210055665271,H,E,4,F,A
210056903588,D,D,2,J,A
210056215838,D,F,4,G,A
210055708725,E,F,4,F,A
210057367873,B,B,1,B,A
210055519030,C,C,5,E,A
210055716498,E,E,3,D,A
210055766364,E,F,2,C,A
210056237289,B,E,4,H,A
210057769398,E,F,3,F,A
210056244708,E,G,4,O,B
210056875109,C,D,3,E,A
210055482069,E,G,4,G,A
210055569924,G,G,4,G,A
210056327770,D,D,3,D,A
210057568216,E,F,1,D,A
210055456973,C,B,2,C,A
210056707604,F,E,5,C,A
210055307322,E,F,3,H,D
210057334969,D,E,3,C,A
210057780215,B,G,5,B,A
210056219209,B,F,3,C,A
210055715179,D,D,3,C,A
210054689561,H,B,4,D,A
210054564659,D,E,4,E,A
210056507763,C,C,4,B,A
210057117985,C,D,3,B,A
210055471328,E,F,3,D,A
210055537904,E,F,5,B,A
210056905029,G,F,2,F,A
210056650038,G,G,4,H,A
210056258716,H,E,4,F,A
210056908749,B,E,4,G,A
210057046090,B,B,5,C,A
210055680356,D,E,4,C,A
210054628709,E,E,1,O,A
210055531433,C,C,2,C,A
210057321201,F,E,3,K,B
210055566991,E,B,3,B,A
210055282160,F,F,3,F,A
210055680934,A,C,2,B,A
210057344157,B,G,5,E,A
210056950409,A,H,4,B,A
210057347578,E,E,4,G,A
210055769492,D,E,5,B,A
210055648665,C,C,5,C,A
210055380588,E,G,3,G,B
210057153207,E,E,5,G,A
210057402309,D,E,4,B,A
210056943447,B,E,5,F,A
210056237717,E,E,4,D,A
210056000144,B,B,5,D,A
210055431629,D,D,3,D,A
210057259848,E,F,4,M,A
210055647727,B,E,5,G,A
210057802233,B,E,3,D,A
210057837642,H,F,3,C,A
210055716047,B,D,1,B,A
210055530557,F,E,4,B,A
210057365371,E,E,3,B,A
210056855586,B,B,4,B,A
210056960573,H,C,3,B,A
210057357030,E,E,4,F,A
210055717999,G,F,5,O,A
210055633906,E,C,3,B,A
210057390642,G,F,3,P,B
210055588233,F,F,3,Q,B
210055542578,C,F,3,C,A
210055488194,C,E,3,E,A
210055435636,E,G,3,J,A
210056582367,D,E,4,B,A
210055834204,E,E,4,E,A
210057753360,E,F,5,D,A
210055647460,F,F,4,G,A
210055736099,B,B,7,B,A
210057117309,F,E,3,C,A
210057379037,D,D,5,F,A
210054555976,E,E,4,H,A
210055526016,E,E,3,C,A
210057387602,G,F,3,O,B
210055656060,F,F,2,E,A
210057379631,C,D,6,C,A
210055613921,E,F,5,H,A
210057154481,H,H,3,A,A
210055289128,D,E,2,C,A
210057836781,D,C,3,B,A
210056628339,G,G,3,E,A
210054566496,F,G,3,N,A
210056587126,H,C,2,D,A
210057488839,C,E,3,C,A
210056479850,E,E,4,C,A
210055811346,H,E,5,E,A
210055560285,C,D,3,C,A
210056251205,C,H,2,G,A
210055788232,E,F,4,E,A
210055631627,B,E,4,B,A
210055723616,F,D,3,E,A
210055692828,A,A,2,B,A
210057390620,E,E,3,B,A
210056888135,F,E,3,E,A
210056912325,E,G,4,D,A
210057339511,E,E,3,C,A
210055750125,B,B,8,B,A
210057157082,F,E,4,B,A
210055318661,C,E,4,C,A
210055436958,B,C,2,C,A
210055649131,G,G,4,E,A
210056012292,E,D,5,M,A
210057783650,G,F,2,H,A
210056923894,H,E,4,D,A
210057393507,B,C,3,B,A
210054661370,A,A,2,D,A
210057532645,E,C,4,H,A
210057781799,G,G,3,J,A
210057367092,F,C,3,B,A
210056642329,E,C,3,D,A
210056542238,C,C,4,C,B
210056689446,B,B,2,C,A
210055714883,E,E,4,K,A
210057780797,H,E,1,G,A
210056945686,E,E,4,C,A
210057771303,G,G,3,K,D
210057815313,E,E,5,C,A
210055739097,H,B,5,B,A
210056934762,E,E,5,D,A
210055731530,D,D,5,C,A
210057353174,B,E,4,E,A
210056629837,F,G,4,J,A
210055686543,B,B,5,C,A
210056676342,C,G,3,B,A
210055757421,D,B,6,D,A
210055481193,E,C,2,C,A
210055706375,G,E,3,B,A
210055716442,H,D,5,B,A
210056224632,E,E,4,H,A
210055680801,F,B,4,D,A
210054569189,B,C,3,B,A
210056697585,H,E,2,D,A
210057813107,H,E,1,C,A
210057823601,H,C,3,C,A
210056223698,C,G,3,E,A
210057388580,B,B,3,B,B
210055641516,E,E,4,H,A
210056651227,D,C,4,B,A
210057338333,F,F,4,I,B
210056710162,E,E,4,C,A
210055236677,E,F,4,O,D
210055497236,D,E,5,C,A
210057994982,D,D,3,C,A
210054566848,E,E,3,F,A
210057817007,F,E,4,G,A
210055466801,E,E,3,E,A
210056961810,E,E,3,E,A
210055626747,E,D,4,E,A
210057319480,H,E,3,C,A
210055752228,D,C,7,B,A
210057821165,E,G,4,L,D
210057832850,E,E,3,F,A
210056216388,D,G,4,M,A
210057824488,D,D,4,B,A
210056540029,G,F,5,Q,D
210056463241,D,D,4,D,A
210054549393,E,G,5,E,A
210056707528,E,E,4,E,A
210057770547,B,B,3,A,A
210058019673,C,E,3,D,A
210055682861,H,H,3,G,A
210056222254,C,C,5,C,A
210055023726,H,E,2,A,A
210055647786,B,D,5,C,A
210057302244,D,B,1,C,A
210055513679,C,C,2,B,A
210057732941,C,C,4,E,A
210057360825,B,C,5,C,A
210055732479,E,E,3,F,A
210056938965,B,E,5,B,A
210056772282,C,B,2,C,A
210055327483,D,C,3,D,A
210055527520,E,B,3,C,A
210057524534,C,B,4,B,A
210055695965,F,G,2,Q,D
210055103897,B,C,7,D,A
210055581034,B,D,3,C,A
210056912217,C,D,4,E,A
210058015938,B,E,4,C,A
210057361125,E,G,4,E,A
210058004822,B,E,4,D,A
210055235339,E,E,4,C,A
210057354760,C,D,6,B,A
210056947115,B,B,3,C,A
210055505272,E,E,4,H,A
210054557943,E,E,4,E,A
210055760004,B,E,1,D,A
210056261808,H,E,4,F,A
210057988544,B,D,4,C,A
210057577356,B,B,4,D,A
210056929851,D,C,3,H,A
210056711869,H,E,4,D,A
210055460883,E,E,3,I,A
210055597895,E,D,4,C,A
210055241193,D,D,2,C,A
210055681392,B,E,5,B,A
210055465713,H,H,2,B,A
210056926703,C,F,4,G,A
210055444725,B,B,2,E,A
210055696531,C,G,6,F,B
210055610188,C,G,3,F,A
210055658671,E,F,4,H,A
210057834386,E,C,5,C,A
210056581561,B,B,5,C,A
210057387218,G,F,4,H,A
210054573165,F,G,3,N,D
210057114126,G,G,3,J,A
210055747708,D,E,3,D,A
210056704104,H,E,2,B,A
210056917337,C,C,2,B,A
210056930760,E,C,2,B,A
210055647151,E,F,4,G,A
210054843863,B,B,4,E,A
210057544990,F,E,4,F,A
210057823117,C,E,4,F,A
210055747148,C,C,4,C,A
210056247148,E,F,4,L,A
210057154396,G,G,3,H,A
210057356207,G,F,4,H,A
210057154991,D,E,4,I,A
210055121976,E,G,5,E,A
210055623956,D,E,3,B,A
210056667961,D,E,3,B,A
210056943021,G,G,3,Q,C
210057776722,E,E,3,C,A
210056643514,D,E,3,B,B
210055659205,E,C,4,D,A
210057708835,A,B,5,B,A
210055662970,E,E,2,B,A
210055741209,E,G,3,I,B
210056258397,E,E,4,F,A
210055595536,E,G,5,K,A
210054548402,E,C,4,I,A
210057106399,C,B,5,C,A
210056526564,D,E,5,B,A
210056536760,D,G,3,C,A
210056259862,D,B,5,B,A
210055765991,B,D,4,B,A
210057529205,D,D,2,C,A
210055561316,E,F,4,C,A
210055244607,B,A,4,C,A
210056903238,E,F,2,J,A
210055695994,F,G,5,I,A
210056430871,E,C,4,E,A
210055686106,H,G,2,I,D
210056948995,B,B,5,B,A
210055288782,B,E,4,B,A
210056547184,F,F,4,H,A
210056449082,H,E,2,A,A
210055770974,B,D,3,B,A
210055803888,C,E,6,A,A
210056946803,E,G,3,H,A
210055448997,C,D,2,B,A
210055613160,E,E,4,D,A
210057049890,D,D,5,E,A
210057758275,F,G,4,J,D
210055656882,H,H,4,J,A
210055522452,E,E,4,E,B
210055635667,B,B,2,B,A
210056558492,C,F,4,B,A
210056939751,F,F,4,E,A
210056571345,C,F,2,C,A
210055632731,H,F,4,H,A
210055626638,C,C,3,F,A
210057382111,E,D,5,F,A
210055707889,C,E,5,E,A
210057816915,B,C,4,A,A
210055479270,E,F,4,O,A
210056322970,B,A,4,B,A
210055618090,D,D,4,A,A
210055129054,E,E,4,E,A
210057398254,A,B,4,B,A
210055611606,C,C,3,A,A
210057821221,A,B,3,B,D
210056241602,B,E,4,B,A
210056594855,H,B,1,B,A
210057107067,H,H,6,I,D
210055720970,B,D,3,C,A
210056217817,D,G,4,H,A
210057294889,E,G,3,D,A
210055793669,C,D,4,E,A
210055680598,E,E,4,C,A
210056560663,E,F,4,G,A
210057938933,E,E,4,G,A
210055630330,F,E,4,I,A
210056545746,F,C,4,Q,A
210057796901,C,F,3,H,A
210055561239,C,C,3,C,A
210056948358,G,G,3,Q,D
210055583407,B,B,4,C,A
210057819908,F,F,3,Q,B
210055733033,E,C,4,C,A
210056609521,H,F,5,C,A
210055559348,E,B,5,C,A
210057564464,C,E,4,F,A
210057836772,E,F,5,G,A
210057937353,E,H,3,A,B
210055391256,F,G,3,P,A
210055660116,H,E,3,B,A
210055717034,C,C,5,D,A
210055753735,H,E,4,B,A
210057780318,G,F,2,Q,A
210056935466,E,E,4,E,A
210057563476,E,G,2,I,A
210057378548,B,B,5,C,A
210056936006,F,F,3,C,A
210055679992,E,E,5,H,A
210055741519,E,F,4,D,A
210055620755,B,B,3,C,A
210056933180,A,B,3,C,A
210055777818,C,C,5,B,A
210056884350,C,E,3,D,A
210055306886,F,F,3,H,A
210056624549,D,E,2,G,A
210055743027,E,E,4,D,A
210056223984,E,C,4,F,A
210056234214,E,E,2,B,A
210056937775,D,E,3,G,A
210056634497,B,B,4,C,A
210055264592,B,B,3,C,A
210054557020,B,C,3,D,A
210054557250,H,H,2,B,A
210055418638,D,E,5,C,A
210055528399,E,G,4,C,A
210056927186,B,B,3,D,A
210055762359,F,E,4,K,A
210057830051,E,E,4,G,A
210056239847,B,D,3,E,A
210057748622,G,G,3,P,B
210056674506,C,E,2,D,A
210055592848,F,F,6,H,A
210055782085,C,G,5,C,A
210057125271,D,E,3,E,A
210057377139,C,E,2,C,A
210057312728,B,G,4,G,A
210056660515,D,G,4,F,A
210057156698,E,E,4,C,A
210055783840,B,C,4,E,A
210056883383,C,D,3,B,A
210054559255,F,G,6,K,A
210055718677,B,C,3,B,A
210058025834,D,E,5,D,A
210054552727,E,E,4,L,A
210057402810,G,G,4,G,A
210057384733,E,E,2,B,A
210056706088,D,E,4,B,A
210056369588,H,H,4,C,A
210055676941,E,B,3,E,A
210057826482,C,D,6,C,A
210056578965,B,B,2,B,A
210056892380,F,E,5,M,A
210055751824,C,B,3,B,A
210057758665,D,E,4,C,A
210055532765,D,G,4,I,B
210055622492,B,B,4,E,A
210055482075,E,E,5,I,A
210057802813,D,E,4,B,A
210057153640,G,E,5,G,A
210054563178,C,E,1,B,A
210057355164,G,G,3,D,A
210056935214,E,E,2,B,A
210057044045,E,E,5,G,A
210056044395,G,G,3,M,D
210056228745,D,B,1,C,A
210057378809,B,E,5,E,A
210057601502,E,D,3,C,A
210055435833,B,E,5,B,A
210056889913,E,E,4,F,A
210055661689,B,B,5,B,A
210055788623,H,E,2,B,A
210057567666,B,B,1,B,A
210055348468,E,F,3,D,A
210055598307,H,H,3,E,B
210056942699,A,B,5,D,A
210057321667,E,G,3,G,C
210055505996,B,B,4,C,A
210057744124,E,F,4,G,A
210056238962,C,E,5,H,A
210056598478,D,E,4,F,A
210057284992,C,E,2,B,A
210057976713,E,E,4,B,A
210057569542,F,G,3,F,A
210055230367,F,E,3,L,D
210057806926,B,C,3,B,A
210056540090,C,C,4,B,A
210055168264,C,E,5,E,A
210055773729,D,E,4,B,A
210056931646,E,E,4,D,A
210055675513,B,B,3,B,A
210055676374,E,B,2,B,A
210055609807,F,G,3,M,A
210055763368,C,C,2,B,A
210056662827,B,C,5,C,A
210057132132,G,G,4,P,B
210056654982,E,C,4,J,A
210057345736,F,F,2,D,A
210056915070,E,F,4,B,A
210057362600,B,C,4,C,A
210055693981,E,D,4,L,B
210057595167,E,C,4,B,A
210056578238,C,E,3,C,A
210057936132,H,E,2,D,A
210056712175,H,B,4,D,A
210057829422,E,E,5,F,A
210056911655,F,G,3,G,A
210056546403,C,G,3,G,A
210057785932,G,G,4,M,A
210057129057,E,E,4,E,A
210056580467,B,E,3,G,A
210057558352,E,G,2,G,A
210055622787,C,D,4,F,A
210056865107,G,E,2,D,A
210057398928,E,E,3,C,A
210054568031,E,E,2,B,A
210057784251,G,E,4,O,B
210057594233,B,B,4,D,A
210057793597,C,E,1,C,A
210057491490,E,C,4,B,C
210056662853,B,H,3,D,A
210055389583,F,F,4,D,A
210055607389,D,G,3,N,A
210057097857,E,G,4,K,A
210055506635,E,E,4,F,A
210057561600,C,E,4,D,A
210055697206,G,G,3,M,A
210055730174,A,B,1,B,A
210057302001,E,F,4,H,A
210054572342,F,E,3,G,A
210056258701,B,B,4,A,A
210054562223,D,D,3,D,A
210056657796,B,E,3,C,A
210055323841,E,E,4,F,A
210057316489,G,G,4,L,B
210056524101,B,E,3,B,A
210055209949,A,D,4,D,A
210057355068,F,F,4,L,B
210057933139,D,F,4,C,A
210055549854,E,F,3,M,A
210055675675,E,E,4,B,A
210057106451,E,D,4,C,A
210055725989,D,D,4,G,A
210057400761,C,E,6,B,A
210057392609,B,B,4,C,A
210055207092,G,G,4,L,B
210056665070,E,E,5,K,A
210056536526,B,B,4,C,A
210057561545,E,E,4,D,A
210055589916,E,E,5,D,A
210056599341,H,B,4,D,A
210055849194,B,D,4,A,A
210055242293,D,F,4,K,B
210055650112,E,G,4,E,A
210057173923,D,F,4,D,A
210056465836,B,D,4,G,A
210057374603,E,E,3,E,A
210055528224,B,B,4,C,A
210057833725,D,E,4,I,A
210057042889,C,E,3,B,A
210056579852,G,F,5,J,A
210056701801,B,B,6,C,A
210056029758,D,D,3,B,A
210056937925,E,E,4,E,A
210057042803,B,D,3,F,A
210056955534,B,B,7,E,A
210055605484,F,G,2,H,A
210056283223,B,B,4,D,A
210055625235,B,A,3,C,A
210057590329,B,B,3,D,A
210055533640,G,G,4,Q,B
210055651349,H,F,1,B,A
210055715473,E,E,2,C,A
210055757565,H,A,6,E,A
210055745213,E,D,2,H,B
210056913334,E,D,3,G,A
210057815500,H,E,4,B,A
210055487893,D,D,3,B,A
210056240968,D,C,2,B,A
210056950531,E,G,2,C,A
210055809797,D,B,3,C,A
210055533488,F,F,2,C,A
210057156268,B,C,2,B,A
210057847451,C,C,7,A,A
210056590647,E,E,3,D,A
210056226308,E,F,3,D,A
210055252193,G,G,3,Q,D
210056241343,B,C,4,B,A
210055211119,H,E,2,B,A
210057374370,E,G,3,G,B
210057824629,B,D,2,D,A
210057825876,C,D,1,A,A
210055366732,D,G,4,F,A
210055697968,H,D,2,B,A
210056577711,G,F,4,I,A
210058011387,G,G,4,O,A
210055690303,E,E,4,F,A
210055778949,E,D,4,H,A
210057046087,H,H,5,D,A
210054564889,C,D,4,C,A
210055443452,E,B,5,D,A
210056241018,A,D,3,B,A
210057366633,G,C,3,D,A
210055668945,H,E,5,B,A
210056709984,E,G,4,I,A
210055726331,E,E,3,P,D
210055364473,G,C,4,B,A
210056925923,E,E,2,F,A
210056467376,B,G,3,F,D
210055509729,D,F,4,D,C
210054920865,C,C,3,C,A
210057045784,F,D,4,A,A
210056644391,H,H,1,D,A
210058023088,B,C,3,A,A
210055441186,B,E,4,E,A
210056544193,C,G,4,L,A
210057362176,B,B,4,B,A
210055749977,B,F,4,C,A
210055313941,H,F,3,F,A
210055593093,E,E,7,E,A
210055714168,B,E,2,C,A
210055411431,E,E,2,C,A
210057573460,E,F,2,C,B
210056113773,C,F,3,D,A
210057487565,E,C,5,G,A
210057785523,D,C,4,E,B
210056939202,C,C,5,G,A
210055565239,F,G,6,L,A
210055910922,B,C,5,B,A
210055195521,E,E,3,G,A
210055462342,F,E,3,D,A
210054574485,B,E,3,C,A
210055557887,E,H,4,F,A
210056815467,E,D,5,D,A
210057495187,D,E,2,B,B
210057820840,E,F,2,F,A
210054561204,D,E,4,F,A
210056877784,C,C,3,B,A
210054562420,H,E,3,C,A
210055662147,H,B,2,B,A
210056906168,F,F,3,D,A
210057800177,E,E,4,E,A
210057798602,H,E,2,C,A
210057398503,A,C,3,A,A
210056612363,E,G,4,J,A
210056229386,C,E,3,D,A
210057816949,G,G,4,M,B
210057979302,D,C,4,B,A
210056649866,H,H,4,B,A
210056935326,E,E,3,E,A
210057621298,B,B,1,B,A
210055747523,E,E,4,D,A
210057833724,E,E,4,C,A
210057560565,H,C,3,B,A
210055711372,E,E,4,G,A
210054556226,F,E,4,F,A
210057112480,E,G,4,G,A
210056546189,H,H,4,A,A
210055691339,B,G,6,C,A
210057351810,C,E,3,E,A
210055597663,D,D,4,D,A
210057486623,E,E,5,F,A
210055792086,F,E,2,B,A
210055499725,B,B,6,C,A
210057326279,B,B,3,C,A
210056945984,B,E,5,C,A
210057399691,C,C,2,D,A
210057748393,B,C,3,E,A
210054537853,B,C,5,J,A
210057107718,B,C,6,D,A
210055625896,E,E,4,F,A
210055688600,E,E,4,H,A
210057107061,B,B,4,D,A
210055353241,E,B,5,B,A
210055517026,C,D,3,F,A
210054928597,B,B,1,C,A
210057832136,H,G,3,F,A
210054557522,D,E,5,D,B
210057938762,H,H,4,F,A
210057396840,H,E,2,E,A
210055272801,E,E,3,C,A
210054555871,C,C,3,B,A
210056928806,B,B,3,B,A
210057391156,F,G,2,I,A
210055444815,B,E,3,C,A
210056632420,C,C,5,B,A
210058015740,D,E,4,G,A
210057561500,C,E,4,D,A
210055745595,E,B,4,E,A
210054520573,F,F,3,A,A
210055010146,F,E,5,M,A
210055667181,B,B,5,B,A
210055561492,G,E,4,L,A
210055658883,H,H,6,B,A
210057152268,B,D,3,B,B
210058021768,B,E,5,C,A
210057383823,B,E,1,C,A
210055728556,C,D,3,C,A
210056847090,G,F,4,M,A
210054549223,E,F,4,B,A
210057373237,F,F,4,O,A
210055709332,E,E,6,D,A
210055796120,B,E,3,C,A
210056593434,F,E,2,M,D
210055142362,B,E,3,B,A
210057112529,G,E,4,I,A
210056940682,B,D,4,E,A
210057779006,B,B,2,D,A
210056581706,B,E,4,D,A
210054539885,C,F,5,H,A
210055583569,E,E,5,D,A
210057793092,C,C,4,B,A
210055617670,B,B,2,D,A
210057046455,F,F,4,K,A
210056220592,E,G,5,H,A
210057601367,E,E,3,J,A
210055524383,G,F,4,I,D
210057974691,B,A,4,E,A
210055775829,C,C,5,C,A
210057093432,E,F,3,F,A
210055605008,H,G,4,J,B
210055720040,B,B,4,B,A
210057156067,B,E,2,Q,D
210057381094,E,E,4,C,A
210057338773,E,F,4,G,A
210055741348,B,C,2,C,A
210058010774,E,E,3,E,A
210055735298,E,G,3,G,A
210055635651,C,B,4,C,A
210056449292,C,G,5,D,A
210056669169,G,F,4,J,B
210055465395,B,B,3,G,A
210057153782,D,C,2,D,A
210055673528,E,E,5,C,A
210057133688,B,F,2,C,A
210058019628,E,F,4,K,A
210056244649,E,E,6,C,A
210056485366,D,E,4,D,A
210055528458,E,C,3,H,A
210057313798,H,E,3,B,A
210056225027,C,C,2,A,A
210055602932,H,D,3,D,A
210056890668,D,D,3,G,A
210055770939,E,E,3,I,B
210056406594,E,G,2,H,B
210055724916,D,B,7,C,A
210056246814,D,D,4,D,A
210057327759,G,G,4,C,A
210057128789,F,F,2,O,B
210055707167,D,E,6,D,A
210057337883,D,E,4,B,A
210056542313,E,E,4,H,A
210056467461,H,D,5,B,A
210056237078,G,E,4,C,A
210055498056,E,E,4,D,A
210055563487,E,C,3,B,A
210054545079,E,E,5,F,A
210055544454,G,F,3,G,A
210056594226,E,E,2,C,A
210056558596,H,F,3,E,A
210055279441,B,B,4,B,A
210057972808,F,F,4,O,A
210056708878,B,C,5,E,A
210055370313,C,E,2,B,A
210056855899,H,H,3,C,C
210055739716,E,E,5,D,A
210057598338,G,G,3,Q,D
210055305751,D,G,4,C,A
210057760786,F,F,3,E,B
210055546250,C,E,2,G,C
210055310535,F,G,3,M,A
210056463320,E,E,2,B,A
210057572708,E,E,5,A,A
210057350771,E,E,4,D,A
210056873633,G,G,3,P,D
210055597665,A,E,2,B,A
210055774187,B,E,6,B,A
210055700532,F,E,4,I,A
210057530179,C,B,4,C,A
210056707848,D,C,5,C,A
210056578643,B,B,4,C,A
210057947526,B,B,4,C,A
210055550803,C,E,4,E,A
210055674472,G,F,3,G,C
210054549938,F,C,2,J,A
210054836649,F,E,3,J,A
210055552386,E,G,4,M,D
210055358986,H,C,2,B,A
210056939251,D,E,3,C,A
210055628617,B,D,7,B,A
210055666069,C,E,3,G,A
210057366328,F,F,2,G,A
210055912138,C,C,1,B,A
210056878648,F,G,4,D,A
210054535847,C,D,4,G,A
210057758596,E,E,3,J,A
210055687353,B,B,3,B,A
210055307527,E,F,3,Q,D
210055739210,E,E,4,D,A
210054548761,E,C,3,C,A
210055597827,E,E,5,B,A
210055783742,H,H,5,B,A
210055752871,E,E,4,F,A
210055736990,G,F,4,G,A
210056931974,C,D,4,D,A
210057403501,A,B,4,D,A
210055544661,D,A,4,B,A
210057930653,E,E,3,G,A
210057340599,E,C,2,B,A
210057532957,E,E,5,E,A
210055720785,B,B,4,B,A
210054552465,D,G,3,D,A
210056223339,E,C,2,B,A
210057832132,D,G,5,L,A
210056278571,E,E,4,D,A
210055621042,B,B,3,B,A
210056580446,C,F,4,D,A
210057341535,E,E,4,G,A
210055519798,F,F,3,D,A
210054544774,C,D,3,B,A
210057762944,B,B,3,C,A
210057595168,E,C,4,B,A
210055618741,E,E,5,N,A
210057327859,H,H,2,C,A
210055339193,H,G,5,L,D
210058018619,C,D,1,C,A
210056658820,B,A,1,A,A
210055631081,H,D,3,C,A
210055703157,C,E,4,D,A
210057088421,B,F,5,H,A
210056237743,G,F,4,H,A
210055745831,E,E,4,G,A
210055401336,B,B,3,E,A
210055526263,D,D,4,D,A
210055619251,E,E,6,F,A
210057382361,D,F,3,I,A
210055674045,E,F,5,G,A
210056481117,B,C,5,E,A
210057316244,F,G,4,I,B
210057115841,E,E,3,F,A
210056616328,H,E,3,C,A
210056239251,E,F,3,B,A
210055451383,D,C,5,B,C
210056993779,D,E,3,K,A
210056465726,D,G,4,H,A
210057934625,C,B,4,B,A
210055664712,D,C,5,C,A
210054545407,E,E,3,F,A
210056951081,E,E,4,C,A
210055734812,C,D,4,B,A
210055547841,E,F,5,D,A
210057827044,E,D,3,C,A
210055670189,B,B,1,B,A
210055702312,C,C,3,B,A
210056666064,H,B,5,A,A
210055582826,C,E,2,B,A
210057044100,F,E,4,D,A
210055742935,D,F,4,K,A
210055559811,D,E,4,D,B
210056629429,C,F,3,G,A
210055688303,E,B,5,C,A
210057798573,H,E,3,D,A
210055698951,D,F,1,B,A
210055635243,G,G,4,H,A
210057760495,H,G,2,E,A
210055607367,G,E,4,E,A
210055514134,C,B,3,C,A
210057086664,C,E,3,B,A
210057489637,F,F,3,M,B
210055325433,F,F,2,I,B
210056693036,C,E,4,C,A
210056859631,F,F,3,D,A
210055702012,C,D,6,G,A
210055468541,F,G,4,N,D
210055708518,A,B,3,B,A
210055947282,G,G,3,H,C
210055745984,H,H,4,C,A
210057354875,E,B,2,C,C
210054537775,E,D,5,J,A
210056658560,F,E,5,H,A
210057562165,C,C,3,D,A
210057341002,D,E,3,H,A
210057307093,E,E,2,B,A
210056944332,F,E,2,C,A
210054555547,C,E,3,B,A
210055274197,G,G,2,B,A
210057574744,E,E,3,G,A
210055769611,F,D,4,D,A
210055691449,B,B,4,B,A
210054943365,D,E,4,C,A
210056447486,H,D,6,C,A
210056918642,E,E,4,G,A
210056245287,D,G,3,J,A
210056640491,B,B,5,B,A
210056558618,E,E,3,C,A
210058007553,E,G,3,G,A
210055473500,C,G,4,E,A
210056955389,C,E,5,D,A
210056593899,B,C,4,C,A
210055729528,F,E,4,E,A
210057369763,C,B,2,B,A
210055505240,C,F,3,E,A
210055533440,F,G,3,H,A
210055778604,D,E,3,E,A
210055263409,A,B,6,B,A
210055690309,B,C,3,B,A
210056244009,E,E,3,C,A
210056448878,F,E,3,L,B
210055721976,B,B,3,E,A
210057367864,E,F,3,B,A
210056303774,A,A,2,C,A
210055753711,C,C,2,D,A
210057086113,D,B,3,A,A
210056869908,E,E,5,F,A
210056537278,B,B,5,D,A
210055679009,B,B,5,B,A
210055488829,F,E,3,H,A
210056461953,C,C,5,C,A
210055614050,B,B,4,E,A
210056948297,D,E,5,D,A
210055658188,C,D,2,C,A
210057153768,D,E,6,B,A
210055665928,C,C,4,B,A
210055532480,E,F,4,H,A
210055496108,B,B,2,E,A
210055758352,F,E,3,F,A
210058012929,D,E,4,F,A
210055456585,E,F,3,L,A
210055457974,G,C,4,D,A
210055852360,B,C,2,F,A
210057839579,B,B,2,A,A
210057378368,B,G,2,D,A
210055625295,F,G,3,J,C
210057729122,G,G,5,N,B
210057151228,E,C,5,C,A
210054567622,H,F,3,C,A
210057268398,C,D,6,D,A
210057283497,E,F,4,G,A
210056234947,E,F,3,I,B
210057345410,E,E,4,D,A
210055622659,G,E,4,G,A
210056646845,F,E,4,H,A
210055394190,C,B,2,I,A
210056889756,E,D,7,D,A
210057818683,H,E,4,E,A
210055646152,E,B,4,B,A
210058019728,B,E,3,B,A
210056217855,B,E,4,C,A
210055640489,H,H,3,C,A
210055689320,C,C,5,B,A
210055166263,C,B,5,B,A
210056179812,B,B,5,C,A
210055752156,F,F,2,D,A
210057367829,B,B,3,B,A
210056931073,B,H,1,D,A
210054639590,B,B,1,C,A
210056945559,B,D,3,C,A
210057797655,G,G,3,L,A
210056712613,E,E,4,H,A
210056867868,D,E,2,H,A
210055182042,E,E,4,B,A
210055680572,B,D,3,C,A
210057817921,C,C,3,B,A
210055669181,E,E,4,E,A
210055211132,B,G,2,D,A
210055771554,C,C,3,D,A
210055741359,C,E,4,B,A
210057761487,E,G,4,N,A
210056917263,C,G,3,E,A
210055595428,E,E,3,I,A
210056848309,H,F,4,B,A
210057176970,C,C,2,C,A
210055543444,B,E,4,D,A
210054569665,E,F,5,E,A
210055853545,B,C,2,B,A
210057379727,G,E,5,Q,B
210056645871,F,E,5,D,A
210056945779,E,E,5,C,A
210057540344,B,B,3,A,A
210056716186,B,B,2,C,A
